,Test Set,ACC,AUC
0,Syn_Spe_Acinetobacter baumannii,0.5758,0.6691
1,Syn_Spe_Candida albicans,0.6,0.75
2,Syn_Spe_Candida auris,1,1
3,Syn_Spe_Cryptococcus neoformans,1,1
4,Syn_Spe_Enterococcus faecalis,1,1
5,Syn_Spe_Escherichia coli,0.6667,0.7465
6,Syn_Spe_Klebsiella aerogenes,0.5,0.5
7,Syn_Spe_Klebsiella pneumoniae,0.7255,0.5723
8,Syn_Spe_Micrococcus luteus,1,1
9,Syn_Spe_Mycobacterium bovis,1,1
10,Syn_Spe_Mycobacterium smegmatis,1,1
11,Syn_Spe_Mycobacterium tuberculosis,1,1
12,Syn_Spe_Pseudomonas aeruginosa,0.5448,0.5932
13,Syn_Spe_Staphylococcus aureus,0.6667,0.7233
14,Syn_Spe_Staphylococcus epidermidis,0.8235,0.9444
15,Syn_Spe_Streptococcus pyogenes,1,1
